 ------------------------------------- ---------- -------- ------ ---------------------------------------------- 
  Name                                  Method     Scheme   Host   Path                                          
 ------------------------------------- ---------- -------- ------ ---------------------------------------------- 
  _preview_error                        ANY        ANY      ANY    /_error/{code}.{_format}                      
  homepage_redirect                     ANY        ANY      ANY    /                                             
  ux_entity_autocomplete                ANY        ANY      ANY    /autocomplete/{alias}                         
  _wdt_stylesheet                       ANY        ANY      ANY    /_wdt/styles                                  
  _wdt                                  ANY        ANY      ANY    /_wdt/{token}                                 
  _profiler_home                        ANY        ANY      ANY    /_profiler/                                   
  _profiler_search                      ANY        ANY      ANY    /_profiler/search                             
  _profiler_search_bar                  ANY        ANY      ANY    /_profiler/search_bar                         
  _profiler_phpinfo                     ANY        ANY      ANY    /_profiler/phpinfo                            
  _profiler_xdebug                      ANY        ANY      ANY    /_profiler/xdebug                             
  _profiler_font                        ANY        ANY      ANY    /_profiler/font/{fontName}.woff2              
  _profiler_search_results              ANY        ANY      ANY    /_profiler/{token}/search/results             
  _profiler_open_file                   ANY        ANY      ANY    /_profiler/open                               
  _profiler                             ANY        ANY      ANY    /_profiler/{token}                            
  _profiler_router                      ANY        ANY      ANY    /_profiler/{token}/router                     
  _profiler_exception                   ANY        ANY      ANY    /_profiler/{token}/exception                  
  _profiler_exception_css               ANY        ANY      ANY    /_profiler/{token}/exception.css              
  homepage                              ANY        ANY      ANY    /                                             
  locale_switch                         GET        ANY      ANY    /localeswitch/{_locale}                       
  frontend_homepage                     ANY        ANY      ANY    /{_locale}/                                   
  frontend_contact                      ANY        ANY      ANY    /{_locale}/contact                            
  frontend_about                        ANY        ANY      ANY    /{_locale}/about                              
  frontend_services_index               GET        ANY      ANY    /{_locale}/services                           
  frontend_service_show                 GET        ANY      ANY    /{_locale}/service/{slug}                     
  frontend_api_services                 GET        ANY      ANY    /{_locale}/api/services                       
  login                                 ANY        ANY      ANY    /login                                        
  logout                                ANY        ANY      ANY    /logout                                       
  user_dashboard                        ANY        ANY      ANY    /user-dashboard                               
  admin_dashboard                       ANY        ANY      ANY    /admin/                                       
  admin_language_index                  GET        ANY      ANY    /admin/languages/                             
  admin_language_new                    GET|POST   ANY      ANY    /admin/languages/new                          
  admin_language_show                   GET        ANY      ANY    /admin/languages/{id}                         
  admin_language_edit                   GET|POST   ANY      ANY    /admin/languages/{id}/edit                    
  admin_language_delete                 POST       ANY      ANY    /admin/languages/{id}                         
  admin_language_toggle_status          POST       ANY      ANY    /admin/languages/{id}/toggle-status           
  admin_language_set_default            POST       ANY      ANY    /admin/languages/{id}/set-default             
  admin_language_switch                 GET|POST   ANY      ANY    /admin/language/switch/{locale}               
  admin_language_current                ANY        ANY      ANY    /admin/language/current                       
  admin_language_available              ANY        ANY      ANY    /admin/language/available                     
  admin_media_index                     GET        ANY      ANY    /admin/media/                                 
  admin_media_upload                    POST       ANY      ANY    /admin/media/upload                           
  admin_media_multi_upload              POST       ANY      ANY    /admin/media/multi-upload                     
  admin_media_list                      GET        ANY      ANY    /admin/media/list                             
  admin_media_delete                    DELETE     ANY      ANY    /admin/media/{id}/delete                      
  admin_media_update                    PUT        ANY      ANY    /admin/media/{id}/update                      
  admin_service_index                   GET        ANY      ANY    /admin/service/                               
  admin_service_new                     GET|POST   ANY      ANY    /admin/service/new                            
  admin_service_bulk_actions            POST       ANY      ANY    /admin/service/bulk-actions                   
  admin_service_translation_tools       GET|POST   ANY      ANY    /admin/service/translation-tools              
  admin_service_edit                    GET|POST   ANY      ANY    /admin/service/{id}/edit                      
  admin_service_show                    GET        ANY      ANY    /admin/service/{id}                           
  admin_service_delete                  POST       ANY      ANY    /admin/service/{id}/delete                    
  admin_service_duplicate_translation   POST       ANY      ANY    /admin/service/{id}/duplicate-translation     
  admin_translation_index               ANY        ANY      ANY    /admin/translations/                          
  admin_translation_edit                ANY        ANY      ANY    /admin/translations/edit/{domain}/{locale}    
  admin_translation_update              POST       ANY      ANY    /admin/translations/update/{domain}/{locale}  
  admin_translation_synchronize         POST       ANY      ANY    /admin/translations/synchronize/{domain}      
  admin_translation_stats               ANY        ANY      ANY    /admin/translations/stats/{domain}            
  admin_translation_export              ANY        ANY      ANY    /admin/translations/export/{domain}/{locale}  
  admin_user_index                      GET        ANY      ANY    /admin/users/                                 
  admin_user_new                        GET|POST   ANY      ANY    /admin/users/new                              
  admin_user_show                       GET        ANY      ANY    /admin/users/{id}                             
  admin_user_edit                       GET|POST   ANY      ANY    /admin/users/{id}/edit                        
  admin_user_toggle_active              POST       ANY      ANY    /admin/users/{id}/toggle-active               
  admin_user_delete                     POST       ANY      ANY    /admin/users/{id}/delete                      
  admin_user_profile                    GET|POST   ANY      ANY    /admin/users/profile                          
 ------------------------------------- ---------- -------- ------ ---------------------------------------------- 

